Other_ID1,Other_ID2,Other_ID3,Other_Response1,Other_Response2,Other_Response3,Key
2,3,4,3,1,1,1
1,3,4,2,1,1,2
1,2,4,2,3,1,3
1,2,3,2,3,1,4
6,7,8,2,0,2,5
5,7,8,1,0,2,6
5,6,8,1,2,2,7
5,6,7,1,2,0,8
10,11,12,2,3,2,9
9,11,12,0,3,2,10
9,10,12,0,2,2,11
9,10,11,0,2,3,12
14,15,16,1,2,3,13
13,15,16,2,2,3,14
13,14,16,2,1,3,15
13,14,15,2,1,2,16
18,19,20,0,1,2,17
17,19,20,2,1,2,18
17,18,20,2,0,2,19
17,18,19,2,0,1,20
22,23,24,1,2,2,21
21,23,24,3,2,2,22
21,22,24,3,1,2,23
21,22,23,3,1,2,24
26,27,28,2,2,0,25
25,27,28,1,2,0,26
25,26,28,1,2,0,27
25,26,27,1,2,2,28
30,31,32,2,3,1,29
29,31,32,1,3,1,30
29,30,32,1,2,1,31
29,30,31,1,2,3,32
2,3,4,2,1,2,33
1,3,4,2,1,2,34
1,2,4,2,2,2,35
1,2,3,2,2,1,36
6,7,8,2,0,2,37
5,7,8,1,0,2,38
5,6,8,1,2,2,39
5,6,7,1,2,0,40
10,11,12,3,3,2,41
9,11,12,3,3,2,42
9,10,12,3,3,2,43
9,10,11,3,3,3,44
14,15,16,2,2,0,45
13,15,16,2,2,0,46
13,14,16,2,2,0,47
13,14,15,2,2,2,48
18,19,20,0,1,2,49
17,19,20,3,1,2,50
17,18,20,3,0,2,51
17,18,19,3,0,1,52
22,23,24,2,2,3,53
21,23,24,3,2,3,54
21,22,24,3,2,3,55
21,22,23,3,2,2,56
26,27,28,2,2,0,57
25,27,28,1,2,0,58
25,26,28,1,2,0,59
25,26,27,1,2,2,60
30,31,32,2,3,2,61
29,31,32,2,3,2,62
29,30,32,2,2,2,63
29,30,31,2,2,3,64
2,3,4,3,0,1,65
1,3,4,2,0,1,66
1,2,4,2,3,1,67
1,2,3,2,3,0,68
6,7,8,3,0,1,69
5,7,8,1,0,1,70
5,6,8,1,3,1,71
5,6,7,1,3,0,72
10,11,12,3,3,3,73
9,11,12,2,3,3,74
9,10,12,2,3,3,75
9,10,11,2,3,3,76
14,15,16,2,1,2,77
13,15,16,1,1,2,78
13,14,16,1,2,2,79
13,14,15,1,2,1,80
18,19,20,0,2,2,81
17,19,20,3,2,2,82
17,18,20,3,0,2,83
17,18,19,3,0,2,84
22,23,24,2,3,2,85
21,23,24,3,3,2,86
21,22,24,3,2,2,87
21,22,23,3,2,3,88
26,27,28,2,2,0,89
25,27,28,1,2,0,90
25,26,28,1,2,0,91
25,26,27,1,2,2,92
30,31,32,1,3,3,93
29,31,32,2,3,3,94
29,30,32,2,1,3,95
29,30,31,2,1,3,96
2,3,4,2,2,1,97
1,3,4,2,2,1,98
1,2,4,2,2,1,99
1,2,3,2,2,2,100
6,7,8,3,0,2,101
5,7,8,1,0,2,102
5,6,8,1,3,2,103
5,6,7,1,3,0,104
10,11,12,3,3,2,105
9,11,12,2,3,2,106
9,10,12,2,3,2,107
9,10,11,2,3,3,108
14,15,16,0,2,0,109
13,15,16,2,2,0,110
13,14,16,2,0,0,111
13,14,15,2,0,2,112
18,19,20,0,2,2,113
17,19,20,3,2,2,114
17,18,20,3,0,2,115
17,18,19,3,0,2,116
22,23,24,1,3,3,117
21,23,24,3,3,3,118
21,22,24,3,1,3,119
21,22,23,3,1,3,120
26,27,28,3,2,0,121
25,27,28,1,2,0,122
25,26,28,1,3,0,123
25,26,27,1,3,2,124
30,31,32,1,3,1,125
29,31,32,0,3,1,126
29,30,32,0,1,1,127
29,30,31,0,1,3,128
2,3,4,3,0,1,129
1,3,4,2,0,1,130
1,2,4,2,3,1,131
1,2,3,2,3,0,132
6,7,8,3,0,2,133
5,7,8,1,0,2,134
5,6,8,1,3,2,135
5,6,7,1,3,0,136
10,11,12,2,3,3,137
9,11,12,1,3,3,138
9,10,12,1,2,3,139
9,10,11,1,2,3,140
14,15,16,0,2,1,141
13,15,16,0,2,1,142
13,14,16,0,0,1,143
13,14,15,0,0,2,144
18,19,20,0,2,2,145
17,19,20,3,2,2,146
17,18,20,3,0,2,147
17,18,19,3,0,2,148
22,23,24,1,3,3,149
21,23,24,3,3,3,150
21,22,24,3,1,3,151
21,22,23,3,1,3,152
26,27,28,1,2,0,153
25,27,28,1,2,0,154
25,26,28,1,1,0,155
25,26,27,1,1,2,156
30,31,32,2,0,1,157
29,31,32,1,0,1,158
29,30,32,1,2,1,159
29,30,31,1,2,0,160
2,3,4,3,1,1,161
1,3,4,2,1,1,162
1,2,4,2,3,1,163
1,2,3,2,3,1,164
6,7,8,2,2,2,165
5,7,8,1,2,2,166
5,6,8,1,2,2,167
5,6,7,1,2,2,168
10,11,12,3,3,3,169
9,11,12,2,3,3,170
9,10,12,2,3,3,171
9,10,11,2,3,3,172
14,15,16,3,1,3,173
13,15,16,2,1,3,174
13,14,16,2,3,3,175
13,14,15,2,3,1,176
18,19,20,0,2,2,177
17,19,20,2,2,2,178
17,18,20,2,0,2,179
17,18,19,2,0,2,180
22,23,24,1,2,1,181
21,23,24,3,2,1,182
21,22,24,3,1,1,183
21,22,23,3,1,2,184
26,27,28,1,3,1,185
25,27,28,1,3,1,186
25,26,28,1,1,1,187
25,26,27,1,1,3,188
30,31,32,1,3,1,189
29,31,32,2,3,1,190
29,30,32,2,1,1,191
29,30,31,2,1,3,192
2,3,4,3,0,3,193
1,3,4,2,0,3,194
1,2,4,2,3,3,195
1,2,3,2,3,0,196
6,7,8,2,3,2,197
5,7,8,2,3,2,198
5,6,8,2,2,2,199
5,6,7,2,2,3,200
10,11,12,3,3,3,201
9,11,12,3,3,3,202
9,10,12,3,3,3,203
9,10,11,3,3,3,204
14,15,16,3,2,0,205
13,15,16,3,2,0,206
13,14,16,3,3,0,207
13,14,15,3,3,2,208
18,19,20,3,2,2,209
17,19,20,3,2,2,210
17,18,20,3,3,2,211
17,18,19,3,3,2,212
22,23,24,2,3,3,213
21,23,24,3,3,3,214
21,22,24,3,2,3,215
21,22,23,3,2,3,216
26,27,28,1,1,0,217
25,27,28,2,1,0,218
25,26,28,2,1,0,219
25,26,27,2,1,1,220
30,31,32,2,1,2,221
29,31,32,2,1,2,222
29,30,32,2,2,2,223
29,30,31,2,2,1,224
2,3,4,3,0,3,225
1,3,4,3,0,3,226
1,2,4,3,3,3,227
1,2,3,3,3,0,228
6,7,8,2,2,1,229
5,7,8,2,2,1,230
5,6,8,2,2,1,231
5,6,7,2,2,2,232
10,11,12,3,3,3,233
9,11,12,3,3,3,234
9,10,12,3,3,3,235
9,10,11,3,3,3,236
14,15,16,0,3,2,237
13,15,16,3,3,2,238
13,14,16,3,0,2,239
13,14,15,3,0,3,240
18,19,20,3,3,0,241
17,19,20,3,3,0,242
17,18,20,3,3,0,243
17,18,19,3,3,3,244
22,23,24,2,3,3,245
21,23,24,3,3,3,246
21,22,24,3,2,3,247
21,22,23,3,2,3,248
26,27,28,2,0,0,249
25,27,28,2,0,0,250
25,26,28,2,2,0,251
25,26,27,2,2,0,252
30,31,32,1,2,3,253
29,31,32,2,2,3,254
29,30,32,2,1,3,255
29,30,31,2,1,2,256
2,3,4,3,0,3,257
1,3,4,3,0,3,258
1,2,4,3,3,3,259
1,2,3,3,3,0,260
6,7,8,3,2,2,261
5,7,8,2,2,2,262
5,6,8,2,3,2,263
5,6,7,2,3,2,264
10,11,12,3,3,3,265
9,11,12,3,3,3,266
9,10,12,3,3,3,267
9,10,11,3,3,3,268
14,15,16,3,0,3,269
13,15,16,3,0,3,270
13,14,16,3,3,3,271
13,14,15,3,3,0,272
18,19,20,3,3,3,273
17,19,20,3,3,3,274
17,18,20,3,3,3,275
17,18,19,3,3,3,276
22,23,24,3,3,3,277
21,23,24,3,3,3,278
21,22,24,3,3,3,279
21,22,23,3,3,3,280
26,27,28,1,0,0,281
25,27,28,2,0,0,282
25,26,28,2,1,0,283
25,26,27,2,1,0,284
30,31,32,3,3,3,285
