Round,ID,Contribution,Total Points Sent,Cost,Punishment Received,Punishment Tax Rate,Earnings,Cumulative Earnings,Key
1,1,2,*,*.*,*,*.*,4.5,4.5,1
1,2,3,*,*.*,*,*.*,3.5,3.5,2
1,3,1,*,*.*,*,*.*,5.5,5.5,3
1,4,1,*,*.*,*,*.*,5.5,5.5,4
1,5,1,*,*.*,*,*.*,4.5,4.5,5
1,6,2,*,*.*,*,*.*,3.5,3.5,6
1,7,0,*,*.*,*,*.*,5.5,5.5,7
1,8,2,*,*.*,*,*.*,3.5,3.5,8
1,9,0,*,*.*,*,*.*,6.5,6.5,9
1,10,2,*,*.*,*,*.*,4.5,4.5,10
1,11,3,*,*.*,*,*.*,3.5,3.5,11
1,12,2,*,*.*,*,*.*,4.5,4.5,12
1,13,2,*,*.*,*,*.*,5.0,5.0,13
1,14,1,*,*.*,*,*.*,6.0,6.0,14
1,15,2,*,*.*,*,*.*,5.0,5.0,15
1,16,3,*,*.*,*,*.*,4.0,4.0,16
1,17,2,*,*.*,*,*.*,3.5,3.5,17
1,18,0,*,*.*,*,*.*,5.5,5.5,18
1,19,1,*,*.*,*,*.*,4.5,4.5,19
1,20,2,*,*.*,*,*.*,3.5,3.5,20
1,21,3,*,*.*,*,*.*,4.0,4.0,21
1,22,1,*,*.*,*,*.*,6.0,6.0,22
1,23,2,*,*.*,*,*.*,5.0,5.0,23
1,24,2,*,*.*,*,*.*,5.0,5.0,24
1,25,1,*,*.*,*,*.*,4.5,4.5,25
1,26,2,*,*.*,*,*.*,3.5,3.5,26
1,27,2,*,*.*,*,*.*,3.5,3.5,27
1,28,0,*,*.*,*,*.*,5.5,5.5,28
1,29,1,*,*.*,*,*.*,5.5,5.5,29
1,30,2,*,*.*,*,*.*,4.5,4.5,30
1,31,3,*,*.*,*,*.*,3.5,3.5,31
1,32,1,*,*.*,*,*.*,5.5,5.5,32
2,1,2,*,*.*,*,*.*,4.5,9.0,33
2,2,2,*,*.*,*,*.*,4.5,8.0,34
2,3,1,*,*.*,*,*.*,5.5,11.0,35
2,4,2,*,*.*,*,*.*,4.5,10.0,36
2,5,1,*,*.*,*,*.*,4.5,9.0,37
2,6,2,*,*.*,*,*.*,3.5,7.0,38
2,7,0,*,*.*,*,*.*,5.5,11.0,39
2,8,2,*,*.*,*,*.*,3.5,7.0,40
2,9,3,*,*.*,*,*.*,5.5,12.0,41
2,10,3,*,*.*,*,*.*,5.5,10.0,42
2,11,3,*,*.*,*,*.*,5.5,9.0,43
2,12,2,*,*.*,*,*.*,6.5,11.0,44
2,13,2,*,*.*,*,*.*,4.0,9.0,45
2,14,2,*,*.*,*,*.*,4.0,10.0,46
2,15,2,*,*.*,*,*.*,4.0,9.0,47
2,16,0,*,*.*,*,*.*,6.0,10.0,48
2,17,3,*,*.*,*,*.*,3.0,6.5,49
2,18,0,*,*.*,*,*.*,6.0,11.5,50
2,19,1,*,*.*,*,*.*,5.0,9.5,51
2,20,2,*,*.*,*,*.*,4.0,7.5,52
2,21,3,*,*.*,*,*.*,5.0,9.0,53
2,22,2,*,*.*,*,*.*,6.0,12.0,54
2,23,2,*,*.*,*,*.*,6.0,11.0,55
2,24,3,*,*.*,*,*.*,5.0,10.0,56
